Código,Descripción,Precio ₡,Precio $ (ref),% IVA,publicar,nota
PCC,AC ANTI-PEPTIDO CICLICO CITRULINADO,25000,0,4,SI,
500,AC ANTI-PEPTIDO CICLICO CITRULINADO,21153.85,34.4,0,NO,REVISAR: mismo examen que código PCC (₡25.000) — decidir cuál precio/código mantener
biliares,ACIDOS BILIARES TOTALES,64000,0,4,NO,REVISAR: mismo examen que código Acid Bil (₡90.000) — decidir cuál precio/código mantener
Acid Bil,Acidos biliares totales,90000,0,4,NO,REVISAR: mismo examen que código biliares (₡64.000) — decidir cuál precio/código mantener
Calza Dental,Calza dental,39599.04,0,4,NO,"Servicio dental, no es examen de laboratorio"
Coli,Colinesterasa Serica,14000,0,4,NO,"Duplicado exacto de código 318 (Colinesterasa Sérica), mismo precio"
308,LDL COLESTEROL,0,8.53,4,NO,"Precio en ₡0 — parece error de captura, confirmar precio real"
Ofic,Mensualidad alquiler espacio de oficina,150000,300,0,NO,"Alquiler de oficina, no es examen de laboratorio"
PCR,PCR COVID,55000,0,4,NO,REVISAR: mismo examen que código PCRCO (₡60.000) — decidir cuál precio/código mantener
PCRCO,PCR COVID,60000,0,4,NO,REVISAR: mismo examen que código PCR (₡55.000) — decidir cuál precio/código mantener
706,PROLACTINA,16500,26,4,NO,"Duplicado exacto de código PRL (Prolactina), mismo precio"
Domi,Servicio a domicilio,5000,21.02,4,NO,"Cargo por servicio a domicilio, no es examen en sí"
spa,Servicio de Spa,41295,0,0,NO,"Servicio de spa, no es examen de laboratorio"
TM,TOMA DE MUESTRA,3000,0,4,NO,"Cargo de toma de muestra, no es examen en sí"
INST,USO DE INSTALACIONES EDUCATIVAS,56500,0,13,NO,"Uso de instalaciones educativas, no es examen de laboratorio"
17-OHPR,17-OH ALFA PROGESTERONA,23000,0,4,SI,
608,AC ANTI CORE IgG,21000,33.28,4,SI,
617,AC ANTI EPSTEIN BARR IgM,17500,28.08,4,SI,
610,AC ANTI HEPATITIS A IgM,20000,33.28,4,SI,
613,AC ANTI HEPATITIS C,20000,33.28,4,SI,
MUSC LISO LKM1,AC ANTI MUSCULO LISO - LKM1,19000,0,4,SI,
511,AC ANTI-CARDIOLIPINA IgG,22000,34.32,4,SI,
510,AC ANTI-CARDIOLIPINA IgM,22000,34.32,4,SI,
628,AC ANTI-CHLAMYDIA IgG,20000,30.16,4,SI,
627,AC ANTI-CHLAMYDIA IgM,20000,30.16,4,SI,
622,AC ANTI-CITOMEGALOVIRUS IgG,17500,28.08,4,SI,
621,AC ANTI-CITOMEGALOVIRUS IgM,17500,28.08,4,SI,
609,AC ANTI-CORE TOTAL,21000,33.28,4,SI,
512,AC ANTI-ENDOMISIALES,52000,85.28,4,SI,
618,AC ANTI-EPSTEIN BARR IgG,17500,28.08,4,SI,
515,AC ANTI-GLIADINA IgA,26000,42.64,4,SI,
516,AC ANTI-GLIADINA IgG,26000,42.64,4,SI,
606,AC ANTI-HBE,21000,33.28,4,SI,
624,AC ANTI-HERPES SIMPLE I IgG,20000,30.16,4,SI,
623,AC ANTI-HERPES SIMPLE I IgM,20000,30.16,4,SI,
626,AC ANTI-HERPES SIMPLE II IgG,20000,30.16,4,SI,
625,AC ANTI-HERPES SIMPLE II IgM,20000,30.16,4,SI,
620,AC ANTI-RUBEOLA IgG,20000,33.28,4,SI,
619,AC ANTI-RUBEOLA IgM,20000,33.28,4,SI,
615,AC ANTI-TOXOPLASMA IgG,17500,28.08,4,SI,
614,AC ANTI-TOXOPLASMA IgM,17500,28.08,4,SI,
513,AC ANTI-TRASGLUTAMINASA IgA,26000,42.64,4,SI,
514,AC ANTI-TRASGLUTAMINASA IgG,26000,42.64,4,SI,
607,AC. ANTI CORE IgM,21000,33.28,4,SI,
604,AC. ANTI HBSAG,20000,33.28,4,SI,
503,AC. ANTI-DNA DS,22000,33.28,4,SI,
505,AC. ANTI-ENAS,50000,42.64,4,SI,
601,AC. ANTI-HIV,17000,28.18,4,SI,
FOL,ACIDO FOLICO,20000,31.2,4,SI,
905,ACIDO URICO,7000,11.13,4,SI,
AU OR,ACIDO URICO ORINA 24H,10000,0,4,SI,
VALP,ACIDO VALPROICO,16000,0,4,SI,
van,ACIDO VANDIL MANDELICO,60000,0,4,SI,
ACLA,ACLARAMIENTO ENDOGENO DE CREATININA,16000,31.2,4,SI,
ACTH,ACTH,26000,0,4,SI,
ADULTO 2,ADULTO <40 AÑOS COMPLETO,77000,126.88,4,SI,
ADULTO 3,ADULTO > 40 AÑOS,62000,101.92,4,SI,
ADULTO 4,ADULTO >40 AÑOS COMPLETO,122000,212.16,4,SI,
ADULTO 1,ADULTOS <40 AÑOS,48000,75.92,4,SI,
ALD,ALDOSTERONA,29000,0,4,SI,
ALERG,ALERGENOS INDIVIDUALES,10000,0,4,SI,
alim,ALERGOCHECK ALIMENTOS,98800,0,4,SI,
CARNE,ALERGOCHECK MARISCOS,45000,0,4,SI,
AFP,ALFA FETO PROTEINA,20000,0,4,SI,
906,AMILASA SERICA,15000,18.72,4,SI,
AMON,AMONIO,25000,0,4,SI,
507,ANCA P,19000,34.01,4,SI,
506,ANCA-C,19000,34.01,4,SI,
andros,ANDROSTENEDIONA,25000,33.28,4,SI,
37,ANTI-MICROSOMAS (ANTI-TPO),18000,29.85,4,SI,
RO,ANTI-RO,21000,0,4,SI,
36,ANTI-TIROGLOBULINA,18500,29.85,4,SI,
lup,ANTICOAGULANTE LUPICO,15000,0,4,SI,
502,ANTICUERPOS ANTINUCLEARES,22000,35.78,4,SI,
fta,ANTICUERPOS ANTITREPONEMICOS (FTA),25000,28.08,4,SI,
ASO,ANTIESTREPTOLISINA,10500,0,4,SI,
cea,ANTIGENO CARCINOEMBRIONICO (CEA),20000,26,4,SI,
603,ANTIGENO HEPATITIS B (HbSAg),17500,28.08,4,SI,
605,ANTIGENO HbEAg,21000,33.28,4,SI,
psa,ANTIGENO PROSTATICO,17000,28.18,4,SI,
